id,name,Prefered,alt_names,network,owners,City,country,categories,is_nsfw,launched,closed,replaced_by,website
BounceXL.us,Bounce XL,Y,,Pluto TV,,,US,entertainment,FALSE,,,,https://pluto.tv/en/live-tv/bounce-xl
Bravo.us,Bravo,Y,,,,,US,,FALSE,,,,https://www.bravotv.com/
BritBoxMysteries.us,BritBox Mysteries,Y,,Pluto TV,,,US,documentary,FALSE,,,,https://pluto.tv/en/live-tv/britbox-mysteries
BritishComedy.us,British Comedy,Y,,Pluto TV,,,US,comedy,FALSE,,,,https://pluto.tv/en/live-tv/british-comedy
BritishDrama.us,British Drama,Y,,Pluto TV,,,US,entertainment,FALSE,,,,https://pluto.tv/en/live-tv/british-drama
CBLTDT.ca,CBLT-DT,Y,,CBC,Canadian Broadcasting Corporation,"Toronto, Ontario",CA,general,FALSE,1952-09-08,,,http://www.cbc.ca/news/canada/toronto
CBS.us,CBS,Y,,CBS,Paramount Global,,US,general,FALSE,1941-07-01,,,https://www.cbs.com/
CBUTDT.ca,CBUT-DT,Y,,CBC,Canadian Broadcasting Corporation,"Vancouver, British Columbia",CA,general,FALSE,1953-12-16,,,http://www.cbc.ca/news/canada/british-columbia
CFMTDT.ca,CFMT-DT,Y,,OMNI,Rogers Sports & Media,"Toronto, Ontario",CA,general,FALSE,1979-09-03,,,http://www.omnitv.ca/ontario
CFPLDT.ca,CFPL-DT,Y,,CTV 2,Bell Media,"London, Ontario",CA,general,FALSE,1953-11-28,,,https://london.ctvnews.ca/
CFTODT.ca,CFTO-DT,Y,,CTV,Bell Media,"Toronto, Ontario",CA,general,FALSE,1960-12-31,,,https://toronto.ctvnews.ca/
CFTODT54.ca,CFTO-DT-54,Y,,CTV,Bell Media,"Toronto, Ontario",CA,general,FALSE,,,,https://toronto.ctvnews.ca/
CFTOTV21.ca,CFTO-TV-21,Y,,CTV,Bell Media,"Toronto, Ontario",CA,general,FALSE,,,,https://toronto.ctvnews.ca/
CHANDT.ca,CHAN-DT,Y,,Global BC,Corus Entertainment,"Vancouver, British Columbia",CA,general,FALSE,,,,https://globalnews.ca/bc/
CHANDT1.ca,CHAN-DT-1,Y,,Global BC,Corus Entertainment,"Vancouver, British Columbia",CA,general,FALSE,1960-10-31,,,https://globalnews.ca/bc/
CHANDT2.ca,CHAN-DT-2,Y,,Global BC,Corus Entertainment,"Vancouver, British Columbia",CA,general,FALSE,,,,https://globalnews.ca/bc/
CHANDT3.ca,CHAN-DT-3,Y,,Global BC,Corus Entertainment,"Vancouver, British Columbia",CA,general,FALSE,,,,https://globalnews.ca/bc/
CHANDT4.ca,CHAN-DT-4,Y,,Global BC,Corus Entertainment,"Vancouver, British Columbia",CA,general,FALSE,,,,https://globalnews.ca/bc/
CHANDT5.ca,CHAN-DT-5,Y,,Global BC,Corus Entertainment,"Vancouver, British Columbia",CA,general,FALSE,,,,https://globalnews.ca/bc/
CHANDT6.ca,CHAN-DT-6,Y,,Global BC,Corus Entertainment,"Vancouver, British Columbia",CA,general,FALSE,,,,https://globalnews.ca/bc/
CHANDT7.ca,CHAN-DT-7,Y,,Global BC,Corus Entertainment,"Vancouver, British Columbia",CA,general,FALSE,,,,https://globalnews.ca/bc/
CHANDT8.ca,CHAN-DT-8,Y,,Global BC,Corus Entertainment,"Vancouver, British Columbia",CA,general,FALSE,,,,https://globalnews.ca/bc/
CHCJDT.ca,CHCJ-DT,Y,,CTV 2,Bell Media,"Hamiltonÿ, ON",CA,general,FALSE,,,,https://barrie.ctvnews.ca/
CICADT.ca,CICA-DT,Y,TVOntario,TVOntario,Government of Ontario,"Toronto, Ontario",CA,education;culture,FALSE,1970-09-27,,,https://www.tvo.org/
CIHFDT.ca,CIHF-DT,Y,,Global,Corus Entertainment,"Halifax, Nova Scotia",CA,general,FALSE,1988-09-05,,,https://globalnews.ca/halifax/
CIIIDT.ca,CIII-DT,Y,,Global,Corus Entertainment,"Toronto, Ontario",CA,general,FALSE,1974-01-06,,,https://globalnews.ca/toronto/
CIIIDT12.ca,CIII-DT-12,Y,,Global,Corus Entertainment,"Toronto, Ontario",CA,general,FALSE,,,,https://globalnews.ca/toronto/
CIIIDT13.ca,CIII-DT-13,Y,,Global,Corus Entertainment,"Toronto, Ontario",CA,general,FALSE,,,,https://globalnews.ca/toronto/
CIIIDT22.ca,CIII-DT-22,Y,,Global,Corus Entertainment,"Toronto, Ontario",CA,general,FALSE,,,,https://globalnews.ca/toronto/
CIIIDT27.ca,CIII-DT-27,Y,,Global,Corus Entertainment,"Toronto, Ontario",CA,general,FALSE,,,,https://globalnews.ca/toronto/
CIIIDT29.ca,CIII-DT-29,Y,,Global,Corus Entertainment,"Toronto, Ontario",CA,general,FALSE,,,,https://globalnews.ca/toronto/
CIIIDT4.ca,CIII-DT-4,Y,,Global,Corus Entertainment,"Toronto, Ontario",CA,general,FALSE,,,,https://globalnews.ca/toronto/
CIIIDT41.ca,CIII-DT-41,Y,,Global,Corus Entertainment,"Toronto, Ontario",CA,general,FALSE,,,,https://globalnews.ca/toronto/
CIIIDT6.ca,CIII-DT-6,Y,,Global,Corus Entertainment,"Toronto, Ontario",CA,general,FALSE,,,,https://globalnews.ca/toronto/
CIIIDT7.ca,CIII-DT-7,Y,,Global,Corus Entertainment,"Toronto, Ontario",CA,general,FALSE,,,,https://globalnews.ca/toronto/
Cinemax.us,Cinemax,Y,,HBO,Warner Bros. Discovery,,US,movies,FALSE,1980-08-01,,,http://www.cinemax.tv/
CITYDT.ca,CITY-DT,Y,,Citytv,Rogers Communications,"Toronto, Ontario",CA,general,FALSE,1972-09-28,,,http://www.citytv.com/toronto
CITYDT2.ca,CITY-DT-2,Y,,Citytv,Rogers Communications,"Toronto, Ontario",CA,general,FALSE,,,,http://www.citytv.com/toronto
CITYDT3.ca,CITY-DT-3,Y,,Citytv,Rogers Communications,"Toronto, Ontario",CA,general,FALSE,,,,http://www.citytv.com/toronto
CityNewsToronto.ca,CityNews Toronto,Y,,,Rogers Sports & Media,"Toronto, Ontario",CA,news,FALSE,2005-08-02,,,https://toronto.citynews.ca/video/
CIVIDT.ca,CIVI-DT,Y,,CTV 2,Bell Media,"Victoria, British Columbia",CA,general,FALSE,2001-10-04,,,https://vancouverisland.ctvnews.ca/
CIVIDT2.ca,CIVI-DT-2,Y,,CTV 2,Bell Media,"Victoria, British Columbia",CA,general,FALSE,,,,https://vancouverisland.ctvnews.ca/
CIVTDT.ca,CIVT-DT,Y,,CTV,Bell Media,"Vancouver, British Columbia",CA,general,FALSE,1997-09-22,,,https://bc.ctvnews.ca/
CJCHDT.ca,CJCH-DT,Y,,CTV,Bell Media,"Halifax, Nova Scotia",CA,general,FALSE,,,,https://atlantic.ctvnews.ca/
CKCODT.ca,CKCO-DT,Y,,CTV,Bell Media,"Kitchener, Ontario",CA,general,FALSE,1954-03-01,,,https://kitchener.ctvnews.ca/
CKCOTV3.ca,CKCO-TV-3,Y,,CTV,Bell Media,"Kitchener, Ontario",CA,general,FALSE,,,,https://kitchener.ctvnews.ca/
CKVRDT.ca,CKVR-DT,Y,,CTV 2,Bell Media,"Barrie, Ontario",CA,general,FALSE,1955-09-28,,,https://barrie.ctvnews.ca/
CKVRTV1.ca,CKVR-TV-1,Y,,CTV 2,Bell Media,"Barrie, Ontario",CA,general,FALSE,,,,https://barrie.ctvnews.ca/
CKVUDT.ca,CKVU-DT,Y,,Citytv,Rogers Sports & Media,"Vancouver, British Columbia",CA,general,FALSE,1976-09-01,,,http://www.citytv.com/vancouver
CKVUDT2.ca,CKVU-DT-2,Y,,Citytv,Rogers Sports & Media,"Vancouver, British Columbia",CA,general,FALSE,,,,http://www.citytv.com/vancouver
CMT.us,CMT,Y,,,Paramount Media Networks,,US,music,FALSE,1983-03-05,,,http://www.cmt.com/
CNBC.us,CNBC,Y,,,Comcast,,US,business,FALSE,1989-04-17,,,https://www.cnbc.com/
CNBCUK.uk,CNBC UK,Y,,,Comcast,,UK,news;business,FALSE,1995-02-27,,,http://www.cnbc.com/europe-television/
CNN.us,CNN,Y,,,Warner Bros. Discovery,,US,news,FALSE,1980-06-01,,,http://www.cnn.com/
CNNInternational.us,CNN International,Y,,,Warner Bros. Discovery,,US,news,FALSE,1985-09-01,,,https://edition.cnn.com/
ComedyCentral.us,Comedy Central,Y,,,Paramount Global,,US,comedy,FALSE,1991-04-01,,,http://www.cc.com/
CookingChannel.us,Cooking Channel,Y,,,Warner Bros. Discovery Networks;Nexstar Media Group,,US,cooking,FALSE,2010-05-31,,,http://www.cookingchanneltv.com/
CP24.ca,CP24,Y,,,CHUM Limited,,CA,news,FALSE,1998-03-30,,,http://www.cp24.com/
Crave1.ca,Crave 1,Y,,,Bell Media,,CA,movies,FALSE,1983-02-01,,,https://www.crave.ca/
Crave2.ca,Crave 2,Y,,,Bell Media,,CA,movies,FALSE,1983-02-01,,,https://www.crave.ca/
Crave3.ca,Crave 3,Y,,,Bell Media,,CA,movies,FALSE,1983-02-01,,,https://www.crave.ca/
Crave4.ca,Crave 4,Y,,,Bell Media,,CA,movies,FALSE,1983-02-01,,,https://www.crave.ca/
CTVComedyChannel.ca,CTV Comedy Channel,Y,,,Bell Media,,CA,comedy,FALSE,1997-10-17,,,https://www.ctv.ca/comedy
CTVDramaChannel.ca,CTV Drama Channel,Y,,,Bell Media,,CA,entertainment,FALSE,1995-01-01,,,https://www.ctv.ca/drama
CTVLifeChannel.ca,CTV Life Channel,Y,,,Bell Media,,CA,lifestyle,FALSE,2016-09-01,,,https://www.ctv.ca/life
CTVNewsChannel.ca,CTV News Channel,Y,,,Bell Media,,CA,news,FALSE,1997-10-17,,,http://www.ctvnews.ca/ctv-news-channel
CTVSciFiChannel.ca,CTV Sci-Fi Channel,Y,,,Bell Media,,CA,entertainment,FALSE,2019-09-12,,,https://www.ctv.ca/sci-fi
CW.us,CW,Y,,CW,Nextsar Media Group,,US,general,FALSE,2006-09-18,,,https://www.cwtv.com/
CWPlus.us,CW+,Y,,CW,Nextsar Media Group,,US,general,FALSE,2006-09-18,,,https://www.cwtv.com/
CWSeed.us,CW Seed,Y,,CW,Nextsar Media Group,,US,general,FALSE,2013-01-01,,,https://www.cwtv.com/
DejaView.ca,DejaView,Y,,,Corus Entertainment,,CA,entertainment,FALSE,2001-09-04,,,https://www.dejaviewtv.ca/
DiscoverFilm.uk,Discover Film,Y,,,,,UK,movies,FALSE,,,,https://discover.film/
DiscoveryChannel.au,Discovery Channel,Y,,,Warner Bros. Discovery Inc.,,AU,entertainment,FALSE,1995-07-01,,,http://www.yourdiscovery.com/au/
DiscoveryChannel.ca,Discovery Channel,Y,,,CTV Specialty Television,,CA,entertainment,FALSE,1995-01-01,,,https://www.ctv.ca/discovery
DiscoveryChannel.uk,Discovery Channel,Y,,,Warner Bros. Discovery Inc.,,UK,entertainment,FALSE,1989-04-01,,,http://www.discoveryuk.com/
DiscoveryChannel.us,Discovery Channel,Y,,,Warner Bros. Discovery Inc.,,US,entertainment,FALSE,,,,http://dsc.discovery.com/
DiscoveryHistory.uk,Discovery History,Y,,,Warner Bros. Discovery EMEA,,UK,documentary,FALSE,1998-10-01,,,http://www.yourdiscovery.com/web/discovery-history/
DiscoveryLife.us,Discovery Life,Y,,,Warner Bros. Discovery Inc.,,US,lifestyle,FALSE,2011-02-01,,,https://www.discoverylife.com/
DiscoveryScience.ca,Discovery Science,Y,,,CTV Specialty Television,,CA,science,FALSE,2010-09-27,,,http://www.ctv.ca/discovery-science
DiscoveryScience.us,Discovery Science,Y,,,Warner Bros. Discovery Inc.,,US,science,FALSE,,,,http://www.sciencechannel.com/
DisneyChannel.ca,Disney Channel,Y,,,Corus Entertainment,,CA,kids,FALSE,2015-09-01,,,http://www.disneychannel.ca/
DisneyChannel.us,Disney Channel,Y,,,Disney Entertainment,,US,kids,FALSE,1983-04-18,,,https://www.disney.com/
DoctorWho.us,Doctor Who,Y,,Pluto TV,,,US,series,FALSE,,,,https://pluto.tv/en/live-tv/doctor-who-es
DoctorWhoClassic.us,Doctor Who Classic,Y,,Pluto TV,,,US,series,FALSE,,,,https://pluto.tv/en/live-tv/doctor-who-classic-de
DocumentaryChannel.ca,Documentary Channel,Y,,,CBC,,CA,documentary,FALSE,2001-09-07,,,http://www.cbc.ca/documentarychannel/
E4.uk,E4,Y,,,Channel Four Television Corporation,,UK,entertainment,FALSE,2001-01-18,,,https://www.channel4.com/collection/e4
E4Extra.uk,E4 Extra,Y,,,Channel Four Television Corporation,,UK,entertainment,FALSE,2022-06-29,,,https://www.channel4.com/
Foodies.uk,Foodies,Y,,,,,UK,cooking,FALSE,,,,https://www.mimyuni.com/
Foodies.us,Foodies,Y,,Pluto TV,,,US,cooking,FALSE,,,,https://pluto.tv/en/live-tv/foodies
FoodNetwork.ca,Food Network,Y,,Food Network,Food Network Canada,,CA,cooking,FALSE,2000-10-09,,,http://www.foodnetwork.ca/
FoodNetwork.uk,Food Network,Y,,Food Network,,,UK,cooking,FALSE,2009-09-01,,,http://www.foodnetwork.co.uk/
FoodNetwork.us,Food Network,Y,,Food Network,Warner Bros. Discovery,,US,cooking,FALSE,,,,http://www.foodnetwork.ru/
FX.ca,FX,Y,,,Rogers Sports & Media,,CA,entertainment,FALSE,2011-10-31,,,http://www.fxnowcanada.ca/
FX.us,FX,Y,,,Disney Entertainment,,US,entertainment,FALSE,,,,http://www.fxnetworks.com/
FXM.us,FXM,Y,,,Disney Entertainment,,US,movies,FALSE,1994-10-31,,,https://www.fxnetworks.com/fxm
FXMovieChannel.us,FX Movie Channel,Y,,,Disney Entertainment,,US,movies,FALSE,1994-10-31,,,https://www.fxnetworks.com/fxm
FXX.ca,FXX,Y,,,Rogers Sports & Media,,CA,entertainment,FALSE,2014-04-01,,,http://www.fxnowcanada.ca/
FXX.us,FXX,Y,,,Fox Networks Group,,US,entertainment,FALSE,2013-09-02,,,https://www.fxnetworks.com/fxx
GlobalNews.ca,Global News,Y,,,Corus Entertainment,,CA,news,FALSE,,,,https://globalnews.ca/
HBO.us,HBO,Y,,,Warner Bros. Discovery,,US,movies;series,FALSE,1972-11-08,,,http://www.hbo.com/
HBO1.ca,HBO 1,Y,HBO East;HBO Canada 1,Crave,Bell Media,,CA,movies,FALSE,2008-10-03,,,https://www.crave.ca/hbo
HBO2.ca,HBO 2,Y,HBO West;HBO Canada 2,Crave,Bell Media,,CA,movies,FALSE,2008-10-03,,,https://www.crave.ca/hbo
HBO2.us,HBO 2,Y,HBO Plus East,HBO,Warner Bros. Discovery,,US,movies;series,FALSE,1991-08-01,,,https://www.hbo.com/
HBOComedy.us,HBO Comedy,Y,,,Warner Bros. Discovery,,US,comedy,FALSE,1999-05-06,,,http://www.hbo.com/comedy/
HBOSignature.us,HBO Signature,Y,,,Warner Bros. Discovery,,US,movies;series,FALSE,1991-08-01,,,http://www.hbo.com/hbosignature/
HBOZone.us,HBO Zone,Y,,,Warner Bros. Discovery,,US,movies;series,FALSE,1999-05-06,,,http://www.hbo.com/
HGTV.au,HGTV,Y,,,Warner Bros. Discovery,,AU,lifestyle,FALSE,2015-02-01,,,http://www.hgtv.com/
HGTV.ca,HGTV,Y,,,Rogers Sports & Media,,CA,lifestyle,FALSE,2025-01-01,,,https://citytvplus.ca/brands/hgtv
HGTV.uk,HGTV,Y,,,Warner Bros. Discovery EMEA,,UK,lifestyle,FALSE,1997-11-01,,,https://hgtv.co.uk/
HGTV.us,HGTV,Y,,,Warner Bros. Discovery,,US,lifestyle,FALSE,1994-12-30,,,http://www.hgtv.com/
Historia.ca,Historia,Y,,,Corus Entertainment,,CA,documentary,FALSE,2000-01-31,,,https://www.historiatv.com/
