site,relative,name,xmltv_id,lang,site_id,country,hd_flag,reason
tvguide.com,tvguide.com\tvguide.com.channels.xml,5StarMax,5StarMax.us@East,en,9233011931,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,A&E,AE.us@East,en,9200004889,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,ActionMax,ActionMax.us@East,en,9200016592,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,AMC,AMC.us@East,en,9233011832,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,Animal Planet,AnimalPlanet.us@East,en,9200018479,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,BBC America,BBCAmerica.us@East,en,9200014701,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,BBC News,BBCNews.uk@NorthAmerica,en,9200004927,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,Bravo,Bravo.us@East,en,9200002886,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,Cinemax,Cinemax.us@East,en,9233009829,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,CNBC,CNBC.us@SD,en,9200009413,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,CNN,CNN.us@SD,en,9233013812,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,Comedy Central,ComedyCentral.us@East,en,9200000657,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,Cooking,CookingChannel.us@SD,en,9200000016,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,Discovery,DiscoveryChannel.us@East,en,9233004102,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,Discovery Life,DiscoveryLife.us@SD,en,9233013857,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,Disney,DisneyChannel.us@East,en,9200018475,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,Food Network,FoodNetwork.us@East,en,9233009448,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,FX,FX.us@East,en,9200006932,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,FX Movie,FXMovieChannel.us@SD,en,9233013967,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,FXX,FXX.us@East,en,9200018644,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,HBO,HBO.us@East,en,9200004886,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,HBO 2,HBO2.us@East,en,9233003524,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,HBO Comedy,HBOComedy.us@East,en,9200006981,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,HBO Family,HBOFamily.us@East,en,9200004595,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,HBO Signature,HBOSignature.us@East,en,9233008160,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,HBO Zone,HBOZone.us@East,en,9233009866,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,HGTV,HGTV.us@East,en,9233004104,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,History,History.us@East,en,9233008002,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,ION,IONTV.us@East,en,9233011910,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,LOGO,Logo.us@East,en,9233013354,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,MGM+ Drive-In,MGMPlusDriveIn.us@SD,en,9200006851,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,MGM+ HD,MGMHD.us@SD,en,9200009335,NAN,HD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,MGM+ Hits HD,MGMPlusHits.us@East,en,9233013634,NAN,HD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,MGM+ Marquee HD,MGMPlusMarquee.us@SD,en,9200020594,NAN,HD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,MoreMax,MoreMax.us@East,en,9233015766,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,MovieMax,MovieMax.us@East,en,9233000532,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,MSNBC,MSNBC.us@SD,en,9233006803,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,MTV,MTV.us@East,en,9200014754,NAN,SD,manual_override_step2;was:country_out_of_scope
