"site","relative","name","xmltv_id","lang","site_id","country","hd_flag","norm_name"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","India Today","","en","india-today","UK","SD","indiatoday"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Inside Crime","","en","inside-crime-uk","UK","SD","insidecrime"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Inside Crime UK (TiVo)","","en","inside-crime-uk-tivo","UK","SD","insidecrimeuktivo"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Inspiration TV","","en","inspiration-tv","UK","SD","inspirationtv"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Investigation Discovery","","en","investigation-discovery","UK","SD","investigationdiscovery"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","iON TV","","en","ion-tv","UK","SD","iontv"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","IQRA BANGLA","","en","iqra-bangla","UK","SD","iqrabangla"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","IQRA TV","","en","iqra-tv","UK","SD","iqratv"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Iran International HD","","en","iran-international-hd","UK","HD","iraninternationalhd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Islam Channel","","en","islam-channel","UK","SD","islamchannel"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Islam Channel","","en","islam-channel-2","UK","SD","islamchannel"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Islam Channel Urdu","","en","islam-channel-urdu","UK","SD","islamchannelurdu"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Islam TV","","en","islam-tv","UK","SD","islamtv"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 Anglia","","en","itv1-anglia","UK","SD","itv1anglia"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 (Anglia East)","","en","itv1-anglia-east-1","UK","SD","itv1angliaeast"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 (Anglia West)","","en","itv1-anglia-west-1","UK","SD","itv1angliawest"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 Border","","en","itv1-border","UK","SD","itv1border"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 Border (Scotland)","","en","itv1-border-scotland","UK","SD","itv1borderscotland"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 Border (Scotland) HD","","en","itv1-border-scotland-hd","UK","HD","itv1borderscotlandhd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 Central","","en","itv1-central","UK","SD","itv1central"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 (Central East)","","en","itv1-central-east","UK","SD","itv1centraleast"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 Central (Plus 1 Hour)","","en","itv1-central-plus-1-hour","UK","SD","itv1centralplus1hour"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 (Central South)","","en","itv1-central-south","UK","SD","itv1centralsouth"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 (Central West)","","en","itv1-central-west","UK","SD","itv1centralwest"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 Channel Islands","","en","itv1-channel-islands","UK","SD","itv1channelislands"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 Granada","","en","itv1-granada","UK","SD","itv1granada"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 Granada Border +1","","en","itv1-granada-border-1","UK","SD","itv1granadaborder1"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 (Granada) HD","","en","itv1-granada-hd","UK","HD","itv1granadahd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 HD (Central, West and Wales)","","en","itv1-hd-central-west-and-wales","UK","HD","itv1hdcentralwestandwales"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 HD (Granada, Yorkshire, Border)","","en","itv1-hd-granada-yorkshire-border","UK","HD","itv1hdgranadayorkshireborder"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 Meridian, Anglia HD","","en","itv1-hd-meridian-anglia","UK","HD","itv1meridianangliahd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 HD Meridian (VM Custom)","","en","itv1-hd-meridian-vm-custom","UK","HD","itv1hdmeridianvmcustom"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 HD (Wales)","","en","itv1-hd-wales","UK","HD","itv1hdwales"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 London HD","","en","itv1-hdondon-l","UK","HD","itv1londonhd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 (Meridian South)","","en","itv1-meridian-south","UK","SD","itv1meridiansouth"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 (Meridian South East)","","en","itv1-meridian-south-east","UK","SD","itv1meridiansoutheast"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 (Meridian South East)","","en","itv1-meridian-south-east-1","UK","SD","itv1meridiansoutheast"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 S Meridian","","en","itv1-south-meridian","UK","SD","itv1smeridian"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 Tyne Tees","","en","itv1-tyne-tees","UK","SD","itv1tynetees"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 (Tyne Tees South)","","en","itv1-tyne-tees-south","UK","SD","itv1tyneteessouth"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 (Wales)","","en","itv1-wales","UK","SD","itv1wales"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 Wales West S West +1","","en","itv1-wales-1","UK","SD","itv1waleswestswest1"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 (West)","","en","itv1-west","UK","SD","itv1west"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 Westcountry","","en","itv1-westcountry","UK","SD","itv1westcountry"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 Yorkshire","","en","itv1-yorkshire","UK","SD","itv1yorkshire"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 (Yorkshire East)","","en","itv1-yorkshire-east-1","UK","SD","itv1yorkshireeast"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 (London)","","en","itv1ondon-1-l","UK","SD","itv1london"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 (London)","","en","itv1ondon-2-l","UK","SD","itv1london"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 London HD (VM Custom)","","en","itv1ondon-hd-vm-custom-l","UK","HD","itv1londonhdvmcustom"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 London","","en","itv1ondon-l","UK","SD","itv1london"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV2","ITV2.uk@SD","en","itv2","UK","SD","itv2"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV2 +1","","en","itv2-1","UK","SD","itv21"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV2 HD","","en","itv2-hd","UK","HD","itv2hd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV2 HD","","en","itv2-hd-1","UK","HD","itv2hd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV3","ITV3.uk@SD","en","itv3","UK","SD","itv3"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV3 +1","","en","itv3-1","UK","SD","itv31"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV3 +1 (Freeview)","","en","itv3-freeview-1","UK","SD","itv31freeview"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV3 HD","","en","itv3-hd","UK","HD","itv3hd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV3 HD","","en","itv3-hd-1","UK","HD","itv3hd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV4","ITV4.uk@SD","en","itv4","UK","SD","itv4"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV4 +1","","en","itv4-1","UK","SD","itv41"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV4 +1 (Freeview)","","en","itv4-1-freeview","UK","SD","itv41freeview"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV4 HD","","en","itv4-hd","UK","HD","itv4hd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV4 HD","","en","itv4-hd-1","UK","HD","itv4hd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 +1","","en","itv-1","UK","SD","itv11"
