"id","name"
"FoxCricket.au@SD",
"FoxFooty.au@SD",
"FoxLeague.au@SD",
"FoxSports503.au@SD",
"FoxSports505.au@SD",
"FoxSports506.au@SD",
"FoxSportsMorePlus.au@SD",
